index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
1018,1028.0,0.23851111100000003,0.23510362,4.3311,4.5191,8.6339,155.0,50.0,3e-06
1019,1029.0,0.276920889,0.276526272,4.4369,11.1006,11.2545,171.0,55.0,3e-06
1020,1030.0,0.287470519,0.287066589,8.0003,6.7741,14.1306,179.0,61.0,3e-06
1021,1031.0,0.22183200000000003,0.22081779199999998,4.7715,1.8958,6.0026,181.0,59.0,3e-06
1022,1032.0,0.229718815,0.228434892,3.2173,1.8371,4.4514,185.0,62.0,3e-06
1023,1033.0,0.22242370399999997,0.22272123,4.7504,2.0934,8.0724,191.0,65.0,3e-06
1024,1034.0,0.209018963,0.209066907,4.2359,1.0054,8.0415,187.0,59.0,3e-06
1025,1035.0,0.183744889,0.181613215,0.2589,0.6854,1.2388,197.0,58.0,3e-06
1026,1036.0,0.16095051900000001,0.157277992,0.3675,0.6779,0.903,205.0,56.0,3e-06
1027,1037.0,0.18990370399999998,0.18850732,0.5826,1.0508,1.0566,277.0,68.0,3e-06
1028,1038.0,0.186234963,0.180893568,0.7393,0.8682,0.9892,277.0,68.0,3e-06
1029,1039.0,0.20417688899999997,0.201921762,1.2375,1.1404,0.8137,280.0,72.0,3e-06
1030,1040.0,0.233059259,0.23242363300000002,2.1452,4.3017,3.1929,252.0,78.0,3e-06
1031,1041.0,0.22984474100000002,0.226399798,2.1895,3.7942,3.4283,222.0,76.0,3e-06
1032,1042.0,0.22959851899999997,0.228155959,4.1566,3.7591,2.4389,242.0,72.0,3e-06
1034,1044.0,0.267728593,0.268077043,8.2105,9.1977,4.7127,341.0,86.0,3e-06
1036,1046.0,0.21402607399999998,0.21296973600000002,3.9793,5.175,6.1535,214.0,68.0,3e-06
1038,1048.0,0.264314667,0.263392995,6.6491,7.5721,11.2531,262.0,79.0,3e-06
1039,1049.0,0.233156444,0.232052094,5.8904,2.0415,8.476,266.0,83.0,3e-06
1040,1050.0,0.222893037,0.22101081399999997,2.141,1.8933,5.1349,256.0,81.0,3e-06
1041,1051.0,0.222205333,0.218401118,3.7538,2.3869,8.3985,266.0,82.0,3e-06
1042,1052.0,0.19792,0.19707056,2.9714,2.6386,7.9321,237.0,74.0,3e-06
1043,1053.0,0.17200711100000002,0.17003749899999998,0.9175,0.9129999999999999,1.2435,238.0,73.0,3e-06
1044,1054.0,0.162480593,0.160262574,1.1191,0.8608,1.1162,245.0,72.0,3e-06
1045,1055.0,0.184684741,0.18221013100000003,1.7392,1.0729,1.1765,267.0,84.0,3e-06
1046,1056.0,0.193429333,0.19035385600000002,2.1512,1.5199,0.8862,278.0,84.0,3e-06
1047,1057.0,0.20148444399999998,0.199296445,2.443,2.9134,2.2889,253.0,76.0,3e-06
1048,1058.0,0.22055674100000003,0.218535005,2.247,4.3779,4.1325,262.0,82.0,3e-06
1049,1059.0,0.225794667,0.223283559,1.2817,4.1506,3.9338,242.0,83.0,3e-06
1051,1061.0,0.269004444,0.26610087600000004,10.9152,13.4126,10.1322,261.0,79.0,3e-06
